hs_class,text
negative,nya kamu sipit tidak kalau iya bikin grup be iga 
positive,intinya pas kampanye koar koar akan menghentikan tetapi sekarang melanjutkan dengan menerbitkan peraturan gubernur baru munafik km pantas dibilang kampret 
positive,kadang yang kemarin sudah follow hari ini jadi pengikut baru kan te ara ya di unfollow tetapi follow lagi geblek apa bagaimana sudah itu manusia 
negative,11 42 situasi lalu lintas jalan gatot subroto di depan gedung majelis permusyawaratan rakyat dewan perwakilan rakyat arah slipi terpantau ramai lancar 
negative,ini makan siang mi ayam lagi dekat kampus sambil bapak yang jual melayani menonton bareng jojo alah tersalip alah alah dan 
positive,ternyata yang katanya katanya hafiz tidak tau benar apa tidak bisa jadi cebong juga 
negative,ngentot yu yang rl nya gampang sange 
negative,jam segini sudah ganti baju gembel rumahan tandanya sudah tidak ingin kemana mana lagi 
negative,apa yang km lakukan itu tidaklah patut km lakukan karena itu urusan pribadi masing masing jika ada masalah di sel 
positive,betul ayo penjarakan koruptor sumber waras 
positive,semua sok peduli rohingya
negative,blur kampret 
negative,kata cewek semua lelaki itu berengsek nah guys kalau kamu berengsek berbanggalah bra i kamu laki 
negative,rupiah anjlok karena ulah kalian kalian selama hidup tidak bisa menerima kebaikan selalu buat isu negatif contoh isu pak ai komunis indonesia pada saat ta mnesti wassalam 
positive,diam kamu kampang saya sedang sakit kepala 
positive,bera i tidak sala cebong pintar pintar nna kalau sih kampret bagaimana dari dulu tidak maju maju cuma otak udang di pakai gede badan doang wajarlah kalau petinggi petinggi kampret pinda haluan
positive,pak ai demokrasi indonesia perjuangan dan mega mau bangkitkan komunis lagi itu
negative,ketika sadar bahwa ada cacat dari hasil kerja tim dan besok adalah di day it sih time to sleep guys 
negative,babi apa sialll 
negative,kalau income negara dari berbagai sektor bagus a inya negara punya uang tentu jokowi tidak akan berhutang untuk membangkitkan ekonomi bangsa kalau sampai terpaksa berhutang tentu pemasukannya tidak bagus simple kan 
negative,siapa bilang di kristen tidak ada wudhu 
negative,nyetir apaan orang mobil di depan saja tidak bergerak idiot dan windy semakin kesal karena yoga yang sangat tidak peka akan kondisi perutnya saat ini ia lalu diam dan menatap ke depan 
positive,congornya persis congor onta 
positive,kamu itu babi anjing mampus kalah jatuh miskin deh bekasi sah
negative,presiden uefa beri dukungan terhadap pengusiran gianluigi buffon oleh michael oliver
negative,dewan perwakilan rakyat as a service 
negative,wahai warga jawa tengah janganlah kalian lupakan ini 2018 ganti gubernur sudirman ida 
negative,anda saja yang hampir lupa saya masih ingat dan gereja saya yang di bom sudah 2 minggu ini masih takut dan memilih tidak beribadah 
positive,tapi pelatih kamu ribet kang bacot mulu kerjaannya x8
negative,setahu saya karena moestopo itu dulunya kuliah di rusia dan waktu pulang ada huru hara pak ai komunis indonesia sehingga ia menambahkan kata beragama di belakang nama ingatkan jika salah 
negative,salam ustaz nak tanya apakah hukum kalau dalam bab jual beli seharian kita pembeli dan penjual tak sebut akad sepe i saya jual dan saya beli 
positive,mending jokowi yang mundur uniform resource locator
positive,thomas uber cup 2018 ada sih re tai 
negative,kata kata bodoh dungu dan idiot semua secara teknis mengacu pada seseorang dengan nilai intelligence quotient di bawah 70 psikologi 
negative,mengenai beking ini sangat menarik apakah itu benar ibu dan adakah solusinya untuk memberantasnya percuma menurut saya nelayan asing di tenggelamkan sedangkan nelayan kecil kita kalah dan tersingkir dengan pengusaha
negative,oi jangan manusia homo nih 
negative,gembel saja bisa kalau cuma fatwa begitu tabi 
negative,abg sama sange telanjang masturbasi dan dan bokep indonesia cumtribute engas memek becek bugil ahok bokep barat cewek seksi pasukan 
negative,matanya terpejam menunggu tamparan yang akan ia terima namun bukan tamparan melainkan sebuah suara asing seorang laki laki masuk dalam pendengarannya dan eeeeeh mau apa dan dan arra membuka
positive,harusnya yang mundur jokowi
positive,pak ai sompret ini bakal bubar sendiri siapa yang mau pilih 
negative,sini queen aku coba memek kamu 
negative,prediksi polandia kamis 29 03 2018 nasa 6 3 2 kopi 4 7 9 kepala 8 2 0 5 ekor 3 1 4 n2d86 23 01 54 83 21 04 n3d965 amp 451 cat n8 amp 4 ncm31 62 45 shio ayam amp monyet twin 11 33 88 nbbfs7 4 1 9 5 uniform resource locator
positive,jangan salah itu janji jokowi yang di tuntut kamu saja yang tidak paham cebong 
negative,komisi tiga menteri hukum dan hak asasi manusia mengenai md3 memang benar hak imunitas itu ada pernah ada perdebatan undang undang pilihan kepala daerah sudah ketok palu namun pendekatannya presiden sudah mengeluarkan peraturan pemerintah pengganti undang undang namun md3 ini presiden tidak mengeluarkan perlu tetapi tidak mau tanda tangan saya kira
negative,beberapa merek itu bukan punya yahudi israel us kalaupun punya saham biasanya owner tetap punya saham terbesar kalau istilahnya suppo ke pihak te entu ya tidak tahu sih 
negative,ajarannya harusnya sama sama sama bersumber dari kitab weda bisa jadi juga beda tafsir tapi secara umum 5 dasar kepercayaan sama percaya brahman atman karma reinkarnasi dan moksa nkl ritual hari raya cara sembahyang kebanyakan
positive,bilangnya tidak penting tetapi kamu baca dan kamu bilang seru juga alah pengirimnya kampang 
negative,apakah suatu negara terus akan ada perang jika didalamnya ada orang orang munafik syiah komunis yang ingin berkuasa 
negative,bom saja di peluk masa kamu tidak 
positive,cowok berengsek semua ya 
positive,turunkan jokowi rezim ini sudah mengorbankan ahok
positive,driver ojek kalau menemui keluarga ini orang pesan ojek begitu langsung tabrak saja bacotnya seolah olah tukang ojek itu hina banget 
positive,gue kira gue doang yang dibeginikan tahunnya ada yang lain juga bangkai memang mereka ini sinyalnya mau ganti telkomsel tetapi saya orang miskin 
negative,kami sejak pe sama rezim ini mengeluarkan kebijakan itu sudah memprotes nya hanya saja penguasa yang pura pura tidak mendengar atau memang tidak paham kami sudah mengkritisi sejak tiga tahun lalu sampai saat ini berbagai macam cara a
negative,wkwk najis gue memilih oke juga lihat lihat dulu kali 
negative,memang jabar terbaik mudah mudahan meningkatkan ekonomi masyarakat disekitarnya congratulations geopark ciletuh selamat
negative,pnh kerja di asing bermanfaat juga diterapkan di sekolah yang dominan enggan 
negative,hari ini resmi mendapat izin program studi s3 islam nusantara satu satunya program studi s3 dengan konsentrasi islam nusantara di indonesia 
positive,tidak terpilih lagi nih kalau mencalonkan presiden
negative,negara ekonomi besar surat pemberitahuan tahunan republik rakyat cina us jepang saja masih utang kok kita sewot kalau ri berutang kalau ada yang berani beri utang bera i negara kita dipercaya mampu mengelolanya 
positive,yang beda paham harus di kuliti tangkap itu sih cina
positive,bera i benaran cebong dong ya wkwk dasar intelligence quotient 200 sekolam 
positive,kamu saja tidak sukses bajingan 
negative,berbeda dengan institutionalized religion atau agama yang sudah diarusutamakan kultus ini semacam tidak punya kontrol te entu untuk memastikan mereka baik baik saja untuk agama arus utama islam misalnya ada majelis ulama indonesia yang menjaga supaya mereka tidak jadi sesat 
positive,pak sehat jalan jalan pak yang aktif begitu kamu menebar kebaikan sepe i presiden ri jangan manggung di kandang terus tidak bosan ketemunya fadli zon saja 
positive,bagi jokowi yang penting membuat pencitraan dulu karena pemilihan presiden sudah dekat perkara harga saham kemahalan dan ada poin poin prinsip yang belum disepakati dan lain lain itu urusan nanti setelah pemilihan presiden metode kerja rezim jokowi kan sepe i itu 
negative,arah baru indonesia adalah menjadikan indonesia menjadikan kekuatan ke 5 dunia di bidang ekonomi teknologi dan militer dari ketiga bidang tersebut minimal indonesia menempati peringkat ke 5 dunia mari dukung menjadi presiden ri 2019 2024 
negative,ngewe cuma percepat desahan doang ngewe saja sama knalpot kendaraan 
positive,nasib cebong baik baik saja karena semua itu mimpi buat orang orang otak berak kayak kamu 
negative,dasar cebong ih dan xa
negative,freepo 51 indonesia itu kayak raya jangan sampai dimanfaatkan pihak asing kekayaan kita 
negative,celakalah sukmawati tiada aku menge i syariat hidupku sesat celakalah sukmawati auratku yang terurai menampakkan buruknya wajahku celakalah sukmawati nyanyian genjer genjer yang aku suka mendatangkan iblis di sukmaku celakalah sukmawati azan tidak bisa mengusir iblis di sukmaku sukmaku mati 
negative,cacat anjir nama gue yang dulu kepanjangan kayak rambut limbad 
negative,oh cuma gara beda pendapat langsung di pecat ya kalau begitu rejim sekarang anti kritik dong tidak mau ada masukan dari luar parlemen 
positive,memang mereka yang ingin nikah muntah depan congor kamu pakai acara jijik jijik dan mampus disabilitas in 
positive,tolol dia tidak ada sangku pautnya apa kamu bilang pengecut dasar tolol 
positive,ini adalah budek sih gendut 
negative,melokalkan merek global itu bukan sesuatu yang baru terjadi sejak lama dan di berbagai bidang dalam hal agama indonesia punya hindu nusantara yang cukup berbeda dari hindu dunia apakah hindu nusantara membuat hindu dunia lemah tidak hindu dunia berkem
negative,cina janji kebut proyek kakak cepat jaka a bandung ekonomi
positive,kalau menurutku mending jokowi mundur saja deh kayak negara ini hanya diatur sama satu orang menteri anjing
negative,rachmawati soekarno tak pernah lempar sembako untuk rakyat hati saya teriris dianggap apa rakyat dilempar lempar sembako souvenir itu saya berkaca kepemimpinan ayah saya beliau tidak pernah melakukan itu 
positive,jadi kesimpulannya kamu kenapa bego v 
positive,jadi tidak nih mencalonkan calon wakil presiden nya mud sudah tua bangkai masih kuat cuit juga nih 
positive,iya anda di serang karena pandangan beda untuk bubarkan komisi pemberantasan korupsi bukan benahi komisi pemberantasan korupsi dan selamatkan ketua anda dari kasusnya
negative,meteor garden cina sudah mulai itu 
positive,2 nomer dua duanya indosat dan ada pulsanya barusan tau kalau pulsa sudah rupiah 0 padahal tidak pernah dipakai dan bangkai nih memang 
negative,tidak berani ngentot lobang pantatnya pantat lobang perem 
negative,sampah visual sudah waktunya dikondisikan 
negative,pak ai komunis indonesia bangkit 
positive,allah subhanahu wa taala benci kafir mengajarkan cocok cocok penis dengan banyak istri gemar mengazab dan menjanjikan rampasan
negative,berlin iqna karya seni muraqqa album sejak era mongolia dari iran dan india akan dipamerkan di depan emen seni islam di museum pergamon berlin 
positive,anjing komunis tolol kamu 
positive,hanya orang bodoh yang masih percaya bahwa prabowo benar benar dalang 98 padahal dalang dalangnya disekitar orang jokowi makanya saat ditanya masalah ham 98 jokowi cuma jawab lagi diproses kamu know lah pasti bohong lagi jadi o
negative,monyet kecil yang pas di universitas pendidikan indonesia masih hidup yi wkwk 
negative,adopsi kecerdasan buatan potensi ekonomi digital bisa mencapai 23 triliun dolar as
positive,jangan mau sama dia burik 
positive,begini ya gue kasih tau ke kamu pada bang kamu itu kasarnya ya bisa saja jadi kesetnya jeyepe dan jangan sombong kamu tai onta 
negative,by the way saya sudah melewati fase pe anyaan2 ateis yang dengan itu justru mendorong iman saya ke tkt ihsan insyaallah tak tergoyahkan kalau menghadapi bani ateis liberal 
positive,tidak cocok antara antara langit dan bumi kampret cebong tapi lebih adem cebong 
negative,pernyataan sikap pilihan kepala daerah damai dan anti hoaks warga desa lae luhung kabupaten dairi 
positive,jadi orang minang tidak salah pilih walaupun kalah tapi tidak ikut memenangkan rezim penyengsara rakyat dan berpihak pada komunis 
positive,berisik kamu salah tempat kamu pada tokai onta bani cabul 
negative,gue memang menel gue memang suka modus sana sini gue memang berengsek gue memang bukan anak baik baik dan tapi dan sekali gue sayang tolong jangan anggap itu semua palsu sekali gue serius tolong jangan permainan hati gue 
negative,ppp jangan buru buru tolak wacana pilihan kepala daerah lewat dewan perwakilan rakyat daerah
negative,dan jangan munafik kita butuh visual yang wah untuk menarik yang non fan maka dari itu we need yireon sakura wonyoung yoonjin lagi pula mereka tidak cuma jual tampang doang terbukti mereka sukses jadi center dan suaranya juga oke 
negative,qaumi ekajati conference jamiat ul ulama e hind janab muhammad ali shabb 
negative,najis ya allah seram 
negative,lain betul suasana hati mengantuk tapi kena belajar sebab besok e nih tikus tidak function kena ampas ingin putus putus kena kasih patah terus 
negative,najis tidak mau membelai jablay 
positive,komisi pemberantasan korupsi banyak semrawut juga goblok bubarkan saja c toh banyak kasus mengambang begitu saja haha haram uniform resource locator
negative,bangkai apa om 
negative,jalan salib di kota ambon potensial jadi objek wisata religius
positive,jangan di suruh mundur nanti pak jokowi di bilang menzalimi gatot
negative,bom wtc untuk minyak di irak apa kabar 
positive,memang tidak semua orang kiri komunis sosialis mar itu bermental penghianat ajaran anti agama mereka buang dan tapi perbandingan nya 1 99 
positive,mereka itu gerindra antek orde baru yang dekat dengan kkn
positive,ahmad dhani yang terhormat paling babi paling anjing aku kontol paling lonte tunggu saat nya karier mu akan habis 
negative,kalau nete 5 menit sekali anak lulove pingsan 
negative,8 setengah dari mereka adalah anak anak aktivis dan pejabat palestina mengatakan bahwa rencana pengusiran warga palestina di area tersebut untuk memeperluas pemukiman ilegal yahudi yaitu kefar adumim yerusalem tepi barat 
negative,kalau mau bini senantiasa kurus putih ikut kamu nikah saja sama bihun taplak heran sama laki model begitu dan n9 bulan kita menahan macam macam sakit penderitaan belum nyinyiran orang lain belum mengurus rumah mengurus suami kamu kata lahirkan anak dimuntahkan 
negative,cowok ganteng si ack pamer kontol besar berurat di kamar uniform resource locator
negative,sebelumnya presiden joko widodo mengetahui ada 34 proyek pembangkit listrik yang mangkrak 
positive,hai kampret goblok idiot bin bodoh kamu baca ini bodoh dipelihara peet kampret masih msu tanya lagi sehat kapan turki dan israel punya hubungan diplomatik uniform resource locator
positive,goblok kamu kunyuk 
negative,jembatan fenomenal dengan pemandangan fenomenal pula bravo presiden jokowi pembangunan jembatan rakyat bersama jokowi
negative,terlalu sulitkah bangsa indonesia untuk mengetahui informasi benar tentang jati diri presiden jokowi chirpstory
positive,komisi pemberantasan korupsi di berhentikan yang paling bagus itu dewan perwakilan rakyat yang di bubarkan bos 
negative,asing lah nih forever young aku dengar ulang ulang sial dengan musik video sekali 
negative,pak menteri agama tak boleh membiarkan penipuan ini terus terjadi harus ada penjelasan muhammad sesuai alquran
negative,biasakan mencari sumber berita yang jelas ini saya bantu kasih link website resmi yang membangun bandaranya perencanaan memang sudah lama tapi groundbreaking dimulai 2016 oleh jokowi 
negative,hanya ateis yang tidak mengenal tuhan 
negative,demi apa di barel ada bom sekarang wilayah kampus sudah kena 
positive,tangkap ahok sekarang juga bagikan jika setuju 
positive,ketika prof bahas fiksi yang tidak menyinggung agama te entu setibanya ramai seolah olah penistaan tetapi bu suka yang jelas jelas merendahkan azan hijab syariat islam tidak berkoar situ sehat indonesia lawyers club prabowo berbalas pantun
negative,aku bantu jawab deh selebihnya cari sendiri dan islam kurban sapi kambing onta dan minus kurban ayam burung dan nah kamu masih mau inus sedangkan burung kamu saja mau di korbankan 
negative,kamu kanal bainanal habib ulama sepakat bahwa selawat pasti diterima karena dalam rangka memuliakan rasulullah saw ada penyair yang berkata 
negative,warga badui setelah selesai memperingati tradisi seba di pendopo pemerintah kabupaten lebak akan dilanjutkan kembali be emu dengan gubernur banten wahidin halim hari ini sabtu 21 4 seba badui 2018
negative,foto mengintip penampakan jamban jadul koleksi museum di jepang bangsa pe sama yang menggunakan jamban adalah 
negative,lagi ribut soal islam nusantara lah saya dulu sekolah di islam terpadu auto kafir tidak ya dan dan islam nusantara 
positive,tokoh islam prabowo kenapa ai islam gerindra dan kontol 
negative,digempur isu sara isu pak ai komunis indonesia dan berbagai fitnah lainnya tapi jokowi masih tetap kokoh berdiri cinta dan dukungan rakyat yang tulus yang membuat beliau kuat 
negative,semua lelaki yang sudah pada ngentot mami tidak pernah bosan dengan jepitan pepek mami mereka bilang lebih puas dengan mami 
negative,di sekolah negeri yang ada cuma islam dan kristen itu tok sudah begitu ruang kelas agamanya dikasih yang gudang bocor dan bolong bolong ya begitu deh 
negative,astaga coba segera kasih foto sebelum setelahnya kalau ada min 
positive,70 juta pendukung jokowi siap menangkan pemilihan presiden 2019 biar kaum sumbu pendek makin kejang kejang
negative,foto pak ai demokrasi indonesia perjuangan silaturahmi ke imam besar masjid istiqlal 
negative,itu pas gue baru saja ditabok sih edi eh tio jadi bibir gue menyon barbar memang itu sih kunyuk dan dan chandra uniform resource locator
negative,iya di aku masih membicarakan kristen bel masa 
negative,kalau kristen nusantara ada tidak ya buddha nusantara ada tidak mungkin nanti ada mengikuti aliran ini 
negative,padahal yang bikin ambang batas rezim prihatin eh semua salah jokowi 
positive,ahok tai memfitnah memang kamu tukang caci maki perempuannn anjing ahok pasti tumbang debat final pemilihan kepala daerah jaka a 
positive,people yang teriak teriak ganyang pak ai komunis indonesia ini pasti jaman menonton layar tancap film gerakan 30 september pak ai komunis indonesia duduk depan diri
negative,oh ternyata tidak butuh waktu lama untuk sih monyet masuk kandang lagi uniform resource locator
negative,daya tarik utama mengonsumsi buah iblis adalah kemampuan khusus yang akan diperoleh setelahnya 
positive,tai lah kalau rakyat jelata sewenang wenang kalian menderek giliran anggota dewan perwakilan rakyat daerah eeemelawan mana buktinya kalau di mata hukum kita sama 
positive,tai memang kamu 
positive,kalau ahok masih menjabat gubernur di labrak itu rumah sakit
positive,anda sudah tahu kebajikan konghucu pak lukman tidak ada ajaran cocok cocok penis dengan 4 istri dan penggal kafir kan 
positive,kenapa yang ada prabowo dalam nama nya selalu ada sesuatu begitu tidak jelas bisanya cuma memecah bangsa uniform resource locator
negative,dalam kristenpun juga ada kristen jawa kristen batak kristen toraja kristen timur dan lain lain kristen batak pun diperkecil lagi ke batak sama batak simalungun dan lain lain kami tidak permasalahkan hal itu selama baik dan tidak nyelew
positive,ku akui kamu memang manis tapi kamu iblis kamu pikir kaulah segalanya 
negative,mantap pak presiden horas jokowi dua periode
positive,abu janda melaporkan pak ke kepolisian daerah metro jaya padahal koleganya sih gun lebih dahulu mengatakan kitab suci fiksi yang di yaitu alamak ayo abu janda laporkan sekalian sih gun ya 
negative,iya beliau warga katolik di sana cek direct message iya 
positive,kristen membunuh di afghanistan 
positive,tidak apalah sudah sadar dan insyaf ternyata calon presiden yang dia dukung dipemilihan presiden 2014 kemarin ternyata sontoloyo 
negative,wkwk bodoh zof 
negative,asli punya mau meminta video foto kontol gue lagi ini nomor wa gue 6289637850869 tonton bagian terakhirnya b 
positive,kamu sompret kan ada nama pengguna kamu 
negative,dia bukan lucu lagi tapi sudah sarap bawa dia pulang gratis tanpa garansi mbar 
negative,sudah lihat instagram cerita mahasiswa kampang mengeluh dengan tugasnya belum hari ini 
positive,banyak cocot 
negative,jinyoung lah paling cocok dan cinta banyak tulisan thailand di komentar sama latin aku berasa bacakan komentar di video musik gates malah ada yang war antek princess sama antek kakak princess kayak keamanan dan kete iban lah apa apa diakui credits ke dia 
negative,onta siapa yang dibalik kasihan ih 
negative,sampai dengan 1998 kita bisa memenuhi hampir 80 persen kebutuhan bawang putih nasional kita dulu jaya sekali untuk hasil pe anian bawang putih tapi sekarang kita impor bawang putih sudah 97 persen 
positive,bro kamu pikir asing sama asing kasih hutang tidak ada maksud terselubung tidak ada makan siang yang gratis asal kamu tau cebong macam kamu bakal musnah kalau tidak ada yang kasih makan paham kamu lae 
negative,ada kesamaan dalam diri mantan presiden soekarno dan calon presiden rizal ramli
negative,43 program 18 melindungi sepenuhnya seluruh produk warisan budaya ekspresi budaya tradisional dan hak cipta para seniman asyik menang asyik menang
negative,bodoh ah malas buat pacaran gue yang jomlo kenapa kamu yang repot 
negative,blangko lagi dipakai tenaga kerja asing cina 
positive,saya suka kalimat sepe i ini ustaz halus tetapi menghujam ke sanubari 2019 ganti presiden
positive,arsul sani jangan sampai ada guantanamo di indonesia dewan perwakilan rakyat cepat gelar reksadana pasar uang klarifikasi siapa muhammad allah subhanahu wa taala
negative,siapa yang sembah batu siapa yang sembah pohon ayo jawab hindu buddha ayo kita cari tahu siapa yang baca dan belajar 
positive,tidak pernah mendalami al alquran ya bang pantas saja mulutnya kayak orang kafir bejat hina 
negative,himpunan tai iblis 
negative,tak perlu berkecil hati orang yang modelnya kayak begitu sudah tidak punya akal sehat tidak beda jauh sama orang gila masih banyak yang akalnya waras dan normal dengan dia menghinanya tidak akan mengurangi keimanan seseorang yang di hina 
negative,kitab adalah wahyu bukan fiksi bahkan rukun iman salah satunya adalah percaya kitab allah jadi 100 menista agama merendahkan kitab suci tidak perlu di bahas lagi 
positive,bagaimana mungkin kementerian agama menghapus teroris islam di indonesia lukman hakim sih tidak paham islam
negative,baru pe sama kalau kulum kontol nih kayaknya uniform resource locator
positive,alah bangkai lah kamu sudah balik sendiri padan muka kamu jejauh sana haha 
positive,ayo jujur kalian lebih suka pemimpin duduk bareng ulama atau pemimpin naik chopper jangan lupa menyalakan tagarnya 2019 ganti presiden
negative,3723 ajun komisaris besar polisi frido situmorang sih h sih i k tingkatkan ukhuwah islam gelar perlombaan nusantara e ess rantauprapat dalam rangka memperingati isra mi raja nabi besar muhammad saw dan menyambut bulan suci ramadan polisi resor labuhan batu gelar perlombaan 
positive,kecewa on kamu silvy tidak malu fitnah itu rasakan pak ahok panas sekak mat debat final pemilihan kepala daerah jaka a
negative,memek kalau sudah basah begini enak banget keluar masuk pakai jari jadi licin 
negative,tempe penyet di bumbui halo monyet ge pain tempe penyet ge murah nada monyet ge marah tempe penyet sayur buncis ayo monyet senyum dong plisssssssss 
negative,sebanyak 1 8 juta orang tenaga kerja asal indonesia bermasalah di luar negeri terutama di 32 negara tempat mereka bekerja dengan yang paling banyak bekerja di negeri jiran malaysia dan uniform resource locator 
positive,main ke pos ronda mengharapkan teman mengobrol yang ada bocah main mobil legend bangsat 
positive,itu pabrik lokasi nya di belanda tolol kok di piara 
negative,hadiri lokakarya kebudayaan daerah bupati rupinus ajak masyarakat sekadau rawat dan manfaatkan objek budaya
positive,lengserkan jokowi saja kok repo jika punya presiden dan pembantunya tidak sanggup sejahterakan rakyatnya 
negative,mau sampai budek di deact kayak bagaimana pun akunnya jinkiw kalau memang ada kebijakan baru itu akun tidak akan masuk mantap gue rasa tidak 
negative,mau pilihan kepala daerah pemilihan umum yang jelas
positive,politisi tai babi pagi pagi sudah berkoar ucapan kamu tidak dibutuhkan untuk negara kesatuan republik indonesia karena kamu adalah penjilat bangsa kutu loncat uniform resource locator
negative,bandara internasional ke ajati saya harapkan bisa diuji coba pada bulan mei 2018 bandara ini bisa menampung sekitar 5 6 juta penumpang tahap i terbesar kedua setelah soekarno hatta semoga bandara ini secara konkret bisa menggerakkan perekonomian di sel
negative,iya kalau buka langsung sipit banget kata teman tetapi sepe inya biasa saja 
negative,setuju kalau susah ke morowali bisa di cek di ngurah rai bali pintu asing dibuka selebar lebarnya 
negative,lesbian itu dimana mana sampai teman sendiri saja lesbi 
negative,male trip pantai pahawang lampung jumat minggu 20 22 april 2018 khusus cowok kuota terbatas rp550 000 orang meeting point pelabuhan merak info lengkap langsung whatsapp 081905356969 gay video lokal hangat
negative,setiap memek cewek itu beda memek beda juga bulu nya juga tidak begitu tidak ada yang tau bagaimana yang tau cuma paca 
positive,bergelar profesor doktor ditololkan atau menampakkan diri jadi orang tolol karena mengutip alquran sangat disayangkan
positive,kamu kalau ada masalah sama gue langsung saja bilang ke gue jangan cuma bisanya bacot kamu doang yang koar koar di belakang gue fuck pengecut kamu 
negative,semua agama itu baik saya tidak percaya kalau seseorang itu harus memeluk agama a agar bisa masuk surga mau islam kristen hindu buddha semua mengajarkan kasih dan kebaikan agama ada karena tuhan mau kita punya hidup yang lurus dan baik masuk surga
negative,mendukung rezim yang merampas tanah termasuk yang destrukrif tidak eh 
negative,pembangunan yang mangkrak sampai be ahun2 dikebut dan diselesaikan dengan baik dan cepat oleh jokowi mulai dari jalanan tol dan masih banyak lagi sekarang sudah mulai masa pemilihan presiden semua orang lagi mencari kesalahan satu sama lain harus tetap berhati hati
negative,teko o rek dan maksudnya bukan arek tapi perek 
positive,bangkai ah awas kamu memfitnah gue iya berak 
positive,menteri sontoloyo profesor sontoloyo fan sontoloyo ayo siapa lagi mau jadi kaum sontoloyo 
positive,lengserkan jokowi sekarang juga 
positive,giliran diperingatkan sama pelayan jogernya baru mau mundur mana bikin barisan sendiri banyak banget lagi tolol 
negative,pastinya kan teman baik lebih paham kondisi keuangan kita dibanding ahli ekonomi jadi bisa kasih saran yang lebih obyektif pastinya lembaga penjamin simpanan sahabat nasabah ayo menabung
positive,wah orang kafir mau masuk surganya orang islam tapi tidak bisa dan tidak bakal bisa silakan cari surga lain kalau ada 
negative,duduk di jamban 
negative,saya lebih suka spiritual dari pada agama mas saya cinta hindu islam katolik buddha 
positive,buruk sekali perilaku anda bermain disc jockey fariz saya tak kenal dan tak pernah ketemu selama pemilihan presiden sutiyoso saya tau dan saya dukung dulu jadi kakak bin anda ngawur dalam hal ini tolong ganti dulu ava mu kasihan almarhum lopa km pakai wajahnya sementara km itukan
positive,bangga jadi anak pak ai komunis indonesia gebuk pak ai komunis indonesia wkwk
positive,yang gubernur lama kebanyakan direcoki di demo demo orang bodoh yang pakai serban lah gubernur yang sekarang 8 bulan apa saja cuma ongkang ongkang di kantor kakak
positive,iya lah kafir mana pantas sih darahnya saja halal kok buat bani kocak kayak situ 
negative,langka adalah homo sapiens yang lebih sering berlalu lalang di sini daripada di media sosial sebelah di 
negative,adanya ngentot 
positive,kamu jangan balas sendiri kampang 
positive,namanya juga kacung asing 
negative,aku ingin menjadi bagian dari dirimu walaupun itu hanya setitik tai lalat di tubuhmu 
positive,iya juga dukung yang dukung penista agama ahok sepe i pak ai golkar nasional demokrat hanura ppp pak ai kebangkitan bangsa pak ai demokrasi indonesia perjuangan
negative,sudah diamankan polisi sih pembaruan isinya kabel sama alumunium begitu tak tau benaran bom apa tidak cuma seram saja huhu terima kasih kamu 
negative,pandangan mengenai apakah wanita berambut lurus lebih menarik daripada yang berambut keriting misalnya bukanlah termasuk realitas sejati melainkan itu dibentuk oleh konstruksi sosial pengaruh budaya dan agama yang telah dialami seseorang 
negative,pemeluk agama katolik islam kristen protestan hindu semuanya bersaudara terikat dengan darah dan silsilah keluarga 
positive,apa layak memercayai kepengurusan negara kepada pemerintah yang bahkan tak mampu menemukan dokumen penting negara uniform resource locator
positive,benar benar politikus busuk kamu apes pak mending disuruh diam dulu nih congor jongosnya bapak karena semakin banyak berbicara saya semakin yakin elektabilitas bapak semakin nyungsep dan orang makin tidak simpati sama bapak 
negative,dia hanya teman mainku sewaktu kecil dan cinta demikian tidak masuk ke dalam hati kata orang cinta sepe i ini adalah cinta monyet 
negative,yer aku mau ikutan be anya ah kenapa kucing kalau tai dikubur 
negative,milea kamu senang memikirkan aku dilan senang dan bingung bingung cara mau berhentinya milea kamu mau berhenti memikirkan 
negative,soalnya lah nih bukannya racist tapi soalnya apa kita nak jawab kalau allah tanya nanti apa kita sudah buat untuk agama dia pening kepala oh kita nanti tuan tuan kalau tak peranti dulu benda yang first nih 
positive,bagaimana lae tapi ah bentar lagi saja kok kan 2019 ganti presiden
negative,kuliner arabpun menjadi bagian dari akulturasi budaya arab indonesia yang terjadi sejak ratusan tahun lalu 
negative,jihad bukan melulu soal perang terorisme dan bom bunuh diri jihad paling besar adalah jihad melawan hawa nafsu dalam diri 
positive,rama biasa banget mentwit sendiri balas sendiri kampang 
negative,sudah anjir sudah kerja sedih karena ingat masa kuliah 
negative,kamu bau monyet tidak 
negative,ekonomi meroket orang miskin berkurang tetapi masih juga bagi bagi sembako 
negative,kenapa pada jadi idiot semua ya apakah ini azab dari allah 
positive,daripada menghentikan komisi pemberantasan korupsi lebih baik bubarkan dewan perwakilan rakyat rakus yang tidak berguna untuk rakyat
negative,jawa timur anti hoaks pilihan kepala daerah damai deklarasi anti hoaks guru banting st yusup
negative,sebelum memulai lebih baik kita baca surat yasin tiga kali dan membaca al fatihah agar dijauhkan dari among yang terkutuk bismillah 
negative,wkwk enggaklah muka ganteng kok dibuat taplak meja 
positive,biar cepat mati cucumu sontoloyo 
